"Notes","States","States Code","Year","Year Code","Disease","Disease Code",Case Count
,"United States","U.S.","2023","2023","Anthrax","10350",0
,"United States","U.S.","2023","2023","Arboviral diseases, Chikungunya virus disease","10073",150
,"United States","U.S.","2023","2023","Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive","10053",7
,"United States","U.S.","2023","2023","Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive","10062",0
,"United States","U.S.","2023","2023","Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive","10078",20
,"United States","U.S.","2023","2023","Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive","10079",7
,"United States","U.S.","2023","2023","Arboviral diseases, La Crosse  virus disease, Neuroinvasive","10081",34
,"United States","U.S.","2023","2023","Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive","10082",1
,"United States","U.S.","2023","2023","Arboviral diseases, Powassan virus disease, Neuroinvasive","10057",47
,"United States","U.S.","2023","2023","Arboviral diseases, Powassan virus disease, Non-neuroinvasive","10063",2
,"United States","U.S.","2023","2023","Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive","10051",14
,"United States","U.S.","2023","2023","Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive","10064",7
,"United States","U.S.","2023","2023","Arboviral diseases, West Nile virus disease, Neuroinvasive","10056",1791
,"United States","U.S.","2023","2023","Arboviral diseases, West Nile virus disease, Non-neuroinvasive","10049",839
,"United States","U.S.","2023","2023","Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive","10052",0
,"United States","U.S.","2023","2023","Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive","10065",0
,"United States","U.S.","2023","2023","Babesiosis, Total","12010",3586
,"United States","U.S.","2023","2023","Babesiosis, Confirmed","12011",3116
,"United States","U.S.","2023","2023","Babesiosis, Probable","12012",470
,"United States","U.S.","2023","2023","Botulism, Total","10360",205
,"United States","U.S.","2023","2023","Botulism, Foodborne","10530",17
,"United States","U.S.","2023","2023","Botulism, Infant","10540",174
,"United States","U.S.","2023","2023","Botulism, Other (wound & unspecified)","10550",14
,"United States","U.S.","2023","2023","Brucellosis","10020",145
,"United States","U.S.","2023","2023","Campylobacteriosis","11020",81547
,"United States","U.S.","2023","2023","Candida auris, clinical","50263",3200
,"United States","U.S.","2023","2023","Candida auris, screening","50264",4366
,"United States","U.S.","2023","2023","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae","50244",0
,"United States","U.S.","2023","2023","Carbapenemase-Producing Organisms (CPO),Total","50272",6910
,"United States","U.S.","2023","2023","Chancroid","10273",4
,"United States","U.S.","2023","2023","Chlamydia trachomatis infection","10274",1648444
,"United States","U.S.","2023","2023","Cholera","10470",19
,"United States","U.S.","2023","2023","Coccidioidomycosis","11900",21012
,"United States","U.S.","2023","2023","Coccidioidomycosis, confirmed","11901",20685
,"United States","U.S.","2023","2023","Coccidioidomycosis, probable","11902",327
,"United States","U.S.","2023","2023","Coronavirus Disease 2019 (COVID-19), Total","11065",7370422
